epoch,gaussian_train_accuracy,gaussian_accuracy,product_train_accuracy,product_accuracy,baseline_train_accuracy,baseline_accuracy,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_epsilon_prv,product_epsilon
1,0.75247014,0.767756794,0.754747687,0.771257485,0.813637067,0.844004299,6.137812162,2.037665369,4.915696918,0.127051726
2,0.796667441,0.82656226,0.799366245,0.827237832,0.84507271,0.849654537,7.08293145,3.010084013,5.788435017,0.208954725
3,0.831305416,0.836204514,0.833259218,0.836634423,0.849187809,0.852756026,7.817553927,3.793871259,6.475212662,0.281998333
4,0.835673081,0.838200522,0.836109714,0.838476892,0.851191213,0.854230002,8.446918039,4.478747985,7.066696049,0.345780125
5,0.836480517,0.839613082,0.836599161,0.839674497,0.852250928,0.85481345,9.030428562,5.099895105,7.597968124,0.390797454
6,0.838175717,0.840933518,0.840219964,0.841424843,0.853418936,0.855550438,9.532510791,5.675500177,8.086816434,0.432979053
7,0.840212268,0.84160909,0.840510131,0.842438201,0.854246597,0.856962997,10.02899633,6.216432222,8.543693081,0.47373029
8,0.841013973,0.842561032,0.841710025,0.843328727,0.855252166,0.857024413,10.48559997,6.729806939,8.975368624,0.511610985
9,0.84204821,0.843083065,0.843887048,0.843420851,0.85548422,0.856840166,10.91390161,7.2205866,9.386480535,0.547160976
10,0.841808529,0.843820052,0.843643122,0.843912176,0.855956064,0.857055121,11.34220325,7.692396505,9.780389002,0.580788883
11,0.842077204,0.844342085,0.843210659,0.844864118,0.85648979,0.859849532,11.75482015,8.14798158,10.15963004,0.612748242
12,0.844384049,0.845631813,0.846860767,0.845877476,0.857054455,0.858498388,12.12845359,8.589479956,10.52616369,0.643334416
13,0.845346568,0.846000307,0.846552538,0.846614463,0.857441213,0.858866882,12.50208703,9.01859597,10.88153986,0.67265793
14,0.8452502,0.846706587,0.845710235,0.84679871,0.858268874,0.858590511,12.87572047,9.436714424,11.22703668,0.700855857
15,0.845580349,0.846675879,0.848290245,0.846768002,0.858369431,0.858222018,13.24935391,9.844978803,11.56367302,0.72812008
16,0.84706812,0.847290035,0.847796085,0.847750653,0.858941832,0.858129894,13.59277657,10.24434645,11.89231834,0.754473738
17,0.847344931,0.847474282,0.847826231,0.84848764,0.859452351,0.8597267,13.92164255,10.63562846,12.21370801,0.780067892
18,0.84866022,0.848303393,0.848743509,0.848794718,0.859931931,0.859266083,14.25050852,11.01951929,12.52846701,0.804938147
19,0.848792236,0.848518348,0.848924988,0.849347459,0.859653465,0.858959005,14.5793745,11.39661893,12.83713226,0.82912698
20,0.847498438,0.849009673,0.849250891,0.849869492,0.860527537,0.859573161,14.90824048,11.76745007,13.14017329,0.852684919
21,0.847960528,0.849132504,0.848512355,0.8499002,0.860481126,0.858406264,15.23710645,12.13247135,13.43801417,0.875671973
22,0.848967269,0.849869492,0.850563313,0.850084446,0.860914295,0.85819131,15.55812572,12.49208789,13.73099814,0.89815936
23,0.848950862,0.850207278,0.84949809,0.850514356,0.861092203,0.859481038,15.84962325,12.84665963,14.01946821,0.920231623
24,0.848932045,0.850698603,0.849364484,0.851097804,0.861424814,0.859235375,16.14112077,13.1965081,14.30369659,0.941702361
25,0.849611953,0.851589129,0.850933876,0.8518655,0.862113243,0.858928297,16.43261829,13.54192196,14.58394651,0.96278859
26,0.848685093,0.851097804,0.848995827,0.851589129,0.862128713,0.858375557,16.72411581,13.88316151,14.86045771,0.983587941
27,0.851227054,0.851404883,0.851432108,0.851896208,0.862128713,0.859941655,17.01561334,14.22046244,15.13343496,1.003794632
28,0.851523916,0.851711961,0.851842493,0.85214187,0.862848082,0.859327499,17.30711086,14.55403901,15.40306977,1.023916026
29,0.849800123,0.8518655,0.852156835,0.852725319,0.862608292,0.85874405,17.59860838,14.88408666,15.66953771,1.043372712
30,0.851770113,0.852326117,0.851998542,0.852541072,0.862917698,0.860095194,17.89010591,15.21078424,15.93299878,1.062809522
31,0.850397184,0.852049747,0.851236543,0.852940273,0.862840347,0.858928297,18.17931874,15.53429594,16.1935998,1.081673859
32,0.851427327,0.852233994,0.852229522,0.852909565,0.862546411,0.859143252,18.43908285,15.85477295,16.45147569,1.100419404
33,0.851768286,0.852172578,0.852876797,0.853093812,0.862778465,0.859542454,18.69884697,16.17235479,16.70675111,1.118883654
34,0.850694174,0.852356825,0.852051831,0.852817442,0.863389542,0.859143252,18.95861109,16.48717058,16.95954387,1.136931196
35,0.851670941,0.852878858,0.851861063,0.853646553,0.863288985,0.858621219,19.2183752,16.79934011,17.20996259,1.154978737
36,0.848886093,0.853278059,0.852631842,0.853707969,0.863613861,0.858344849,19.47813932,17.10897472,17.45810001,1.172573303
37,0.853135533,0.853677261,0.853417486,0.8538308,0.863474629,0.858805466,19.73790344,17.41617813,17.70405017,1.189916047
38,0.853222315,0.853431598,0.854058647,0.854045755,0.863660272,0.859112544,19.99766756,17.72104717,17.94790806,1.20725879
39,0.853041736,0.853800092,0.853699985,0.85410717,0.864534344,0.858436972,20.25743167,18.02367238,18.18974435,1.224258945
40,0.853195566,0.854137878,0.854220474,0.854291417,0.863845916,0.858651927,20.51719579,18.32413856,18.42963922,1.240890039
