epoch,gaussian_test_rmse,product_test_rmse,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_epsilon_prv,product_epsilon,baseline_test_rmse
1,1.203386558,1.202010596,5.195285632,1.70326417,4.142981607,0.04773436,1.118399449
2,1.208398611,1.203611425,5.980701059,2.509547285,4.875881463,0.050319993,1.039556664
3,1.219807636,1.206623688,6.600791245,3.156718208,5.455516954,0.052905626,1.02816001
4,1.216687403,1.206804133,7.127643121,3.720424448,5.956989298,0.055491259,1.031606279
5,1.194391036,1.185148782,7.606732211,4.230337949,6.408669602,0.058076892,1.032691166
6,1.182023902,1.179626686,8.05163342,4.701801724,6.825028865,0.060662524,1.038673887
7,1.167974333,1.156341755,8.45913683,5.14398652,7.214637201,0.063248157,1.040251294
8,1.135781614,1.13387108,8.849667831,5.562897129,7.58305301,0.06583379,1.03948453
9,1.132028768,1.12380202,9.228032109,5.962721674,7.934133051,0.068419423,1.042883792
10,1.115659598,1.108086309,9.574160572,6.34652025,8.270669478,0.071005056,1.052020714
11,1.109368471,1.103354446,9.920289034,6.716610088,8.594773159,0.073590689,1.051098468
12,1.098746598,1.096833947,10.26368585,7.074796352,8.90808934,0.076176322,1.056210551
13,1.089832132,1.086561965,10.57285987,7.422518103,9.211915579,0.078761954,1.048970414
14,1.097358486,1.089004086,10.8820339,7.760944705,9.507310114,0.081347587,1.042325212
15,1.08212409,1.081249865,11.19120793,8.091041829,9.795145058,0.08393322,1.049146725
16,1.076015615,1.073074442,11.50038195,8.413618006,10.07615272,0.086518853,1.041051106
17,1.078158528,1.07242781,11.78322733,8.729358326,10.35095009,0.089104486,1.039417201
18,1.067033686,1.062765996,12.06111206,9.038849364,10.62006617,0.091690119,1.036783134
19,1.068554355,1.061442195,12.33899679,9.342597978,10.88395563,0.094275752,1.038129896
20,1.062725018,1.05340835,12.61688152,9.641045731,11.14302016,0.096861385,1.038527085
